,prob_toxic,prob_constructive,like_count,treatment_score
1429,0.033334624,0.11816678,7958.0,8.863480118898353
7,0.022728346,0.5274905,3061.0,8.00692933687841
1412,0.50503236,0.106708884,3645.0,7.795139162673645
712,0.10566349,0.35956848,2686.0,7.78857777116088
1472,0.050573748,0.068169184,2787.0,7.730353308676536
714,0.014136819,0.32493976,2294.0,7.719130087284311
720,0.02968135,0.091954015,2349.0,7.648523542791327
3317,0.37458646,0.3763945,2567.0,7.615923231594408
744,0.06065326,0.48421115,2075.0,7.58718207047745
1456,0.01834645,0.15422586,2042.0,7.573555029455684
3333,0.040925518,0.5552554,1946.0,7.542849268725006
3947,0.05131592,0.18172787,2032.0,7.51662910386241
727,0.20056234,0.3568231,2154.0,7.509833873382126
3948,0.013068704,0.57455313,1831.0,7.503137984086232
3,0.10783285,0.11726139,2259.0,7.501131457521699
3335,0.1182615,0.10929321,2282.0,7.492104894920546
9,0.032156147,0.20371327,1880.0,7.477886612924588
713,0.6989911,0.10248133,2665.0,7.475553568785254
1432,0.025203144,0.20634092,1830.0,7.463553471463281
3949,0.025203144,0.12368249,1819.0,7.430349482476564
1446,0.023788974,0.23852259,1741.0,7.422181241880406
2754,0.04711028,0.6926747,1658.0,7.385642528011557
734,0.2648175,0.09432412,2250.0,7.377622109225121
0,0.02072494,0.5854431,1598.0,7.362000220784081
2748,0.027913637,0.20371327,1652.0,7.3567653076192725
737,0.05280026,0.39270046,1645.0,7.3534375829708045
736,0.10175867,0.26450998,1702.0,7.316123055245255
4583,0.2359567,0.2102981,1904.0,7.312643093214011
2087,0.1460314,0.41602656,1666.0,7.30313000305134
2086,0.02449606,0.5306623,1503.0,7.296514942219253
1458,0.059479803,0.6573906,1471.0,7.258063779610477
2737,0.1641865,0.46030796,1564.0,7.239608339325383
745,0.03062413,0.14807095,1496.0,7.236040141483273
8,0.6289369,0.3743664,1833.0,7.231628729400055
6,0.051810697,0.60371864,1426.0,7.228885559939053
730,0.050078966,0.24125785,1478.0,7.223841078876105
748,0.018849092,0.14995342,1426.0,7.2146666562812785
1415,0.01237757,0.42431307,1373.0,7.2131935195466035
4587,0.024378212,0.56534135,1377.0,7.210459741307335
4584,0.24924077,0.3947486,1600.0,7.2070460366015805
746,0.18174082,0.3858881,1550.0,7.205522065136402
2089,0.03639866,0.111035876,1495.0,7.202260376430679
1441,0.1100022,0.11016245,1637.0,7.179355939252263
3326,0.034984488,0.16659191,1406.0,7.17372702983799
56,0.030741978,0.063014865,1501.0,7.1706504898031325
729,0.033806015,0.11726139,1427.0,7.166497027014744
3329,0.3127066,0.29786137,1606.0,7.155276008999743
2090,0.022846194,0.08656024,1401.0,7.154873034794884
1457,0.1013248,0.12182798,1554.0,7.149011223461752
3950,0.1373533,0.30777118,1455.0,7.148599794952378
3325,0.09741997,0.3063505,1412.0,7.148465249385351
1413,0.1798404,0.3811355,1462.0,7.148054337057245
1473,0.081625134,0.47722873,1348.0,7.143959370665551
3315,0.042657252,0.6016993,1302.0,7.143935140179934
22,0.02048268,0.13908774,1330.0,7.138282330215262
1425,0.032156147,0.19458519,1322.0,7.126496540274703
2096,0.019226074,0.5473798,1257.0,7.122747506711645
2119,0.021432023,0.17160219,1280.0,7.107729740907455
1467,0.009298885,0.19718185,1244.0,7.107633185264474
2726,0.019980038,0.3743664,1241.0,7.102820045347598
1430,0.035220183,0.28245366,1267.0,7.097665287684919
732,0.37751234,0.099992886,1720.0,7.09723433234401
5,0.0414203,0.61912376,1235.0,7.092848860704033
3951,0.0201057,0.18941686,1223.0,7.068943793847719
725,0.04686289,0.41120413,1222.0,7.0654242597010946
2745,0.04315203,0.45600423,1210.0,7.0623782085806335
2088,0.09611836,0.13908774,1388.0,7.058908977633109
1434,0.09525062,0.45732772,1251.0,7.058729750995533
726,0.78207105,0.19718185,1657.0,7.0581304009097785
718,0.02449606,0.10416048,1255.0,7.05416973802325
715,0.4269174,0.09592405,1660.0,7.0518909118886315
4585,0.17891699,0.10248133,1523.0,7.049497314196078
3952,0.06381883,0.40639198,1217.0,7.047106644628259
1443,0.055026773,0.23036613,1244.0,7.044442409107227
4586,0.2412222,0.2156048,1429.0,7.0352441683123175
4588,0.10566349,0.6975779,1199.0,7.034116403047176
740,0.03639866,0.3163268,1177.0,7.027789318475396
722,0.035220183,0.11907599,1239.0,7.025313234302372
2762,0.4575469,0.5328067,1371.0,7.0237732926723595
2735,0.022139108,0.5595307,1125.0,7.010380713148611
3953,0.03109552,0.57455313,1131.0,7.010079625311453
728,0.022021262,0.49494594,1122.0,7.005807482896271
3327,0.05378982,0.5656828,1120.0,6.9853926417413925
3954,0.013382856,0.14619578,1117.0,6.983976799368897
1435,0.13908891,0.5137541,1179.0,6.982851651241542
1426,0.02035702,0.5219356,1094.0,6.982746698536838
2749,0.102626406,0.27828732,1205.0,6.980370538602051
742,0.036162965,0.076340675,1231.0,6.9791452982646245
747,0.5885171,0.22228386,1474.0,6.9786486738227484
23,0.011560776,0.18556258,1094.0,6.9738829707237935
731,0.020231359,0.1881301,1105.0,6.96767471802067
34,0.02779579,0.4256969,1084.0,6.963631553490115
10,0.026970858,0.20634092,1098.0,6.9535889710582515
733,0.47119883,0.340865,1344.0,6.953337477091344
743,0.059727192,0.10929321,1215.0,6.952714866360645
1453,0.2043827,0.5310054,1173.0,6.950306719932424
1459,0.030034892,0.26450998,1064.0,6.928081542393456
1416,0.02072494,0.20371327,1057.0,6.925550927737531
2,0.2786282,0.25493836,1272.0,6.925135214428404
2761,0.49139655,0.17918386,1395.0,6.922980984034116
4593,0.034748793,0.5283454,1033.0,6.915489419608556
1452,0.7510937,0.23172058,1398.0,6.911371466029311
4,0.08953904,0.25630096,1117.0,6.910257603775964
51,0.165053,0.29504436,1163.0,6.9076657368392285
3336,0.2330714,0.29363838,1204.0,6.9058810339865975
2759,0.013822667,0.71416485,995.0,6.895882161233468
4590,0.055768944,0.19848377,1078.0,6.891878594397352
2129,0.09351514,0.20109403,1111.0,6.880333627190155
2098,0.07291982,0.40090486,1033.0,6.877096686685616
717,0.20102765,0.12090656,1263.0,6.874451437576948
11,0.022256956,0.11816678,1023.0,6.86555411929357
4592,0.032391842,0.31061715,993.0,6.8626315296036156
3321,0.032391842,0.32926556,986.0,6.857618775780462
24,0.5140397,0.5086876,1165.0,6.848385742214509
1427,0.02920996,0.18684532,991.0,6.843753921257611
2097,0.6863638,0.2769019,1271.0,6.842737493850444
721,0.1883923,0.11016245,1224.0,6.841479090482967
741,0.24924077,0.12182798,1244.0,6.8396698958605855
2751,0.045131154,0.6678007,952.0,6.833560603945704
2136,0.16098402,0.28663585,1065.0,6.821229272607238
3956,0.036870047,0.13222396,1001.0,6.819355189090538
2739,0.01822079,0.50652134,919.0,6.810155774538102
3324,0.14950264,0.11456946,1150.0,6.808962620481314
735,0.028385026,0.31489727,936.0,6.808735173907878
1469,0.12520397,0.3506615,1006.0,6.805571668463436
3320,0.37751234,0.30351397,1140.0,6.805523258904607
2138,0.0126288915,0.44474924,911.0,6.80434859173107
1433,0.91625386,0.08282434,1337.0,6.80280317761032
3959,0.083999306,0.6632537,940.0,6.800762919446127
4591,0.15490346,0.51016665,988.0,6.800314554651762
1424,0.014953613,0.4941134,901.0,6.792621571839848
57,0.049089402,0.38861004,927.0,6.7870509419389276
769,0.024613906,0.19329,924.0,6.783505103919638
2738,0.28312725,0.7667464,985.0,6.782112534098691
40,0.014011159,0.44069323,891.0,6.780906192128936
2132,0.7252971,0.10081833,1280.0,6.778466783431032
2094,0.016964182,0.16659191,902.0,6.7679836209370965
1460,0.018723432,0.25086454,893.0,6.767387241368867
4589,0.76523775,0.1361225,1241.0,6.7615654505174545
1474,0.103060275,0.41671616,932.0,6.757050848502292
4596,0.025556687,0.65543103,869.0,6.7532523849946235
785,0.040183347,0.13029796,937.0,6.746963462386146
2724,0.3827457,0.2922344,1078.0,6.746181575419172
25,0.4269174,0.6137894,1006.0,6.744537773902439
2137,0.011120965,0.3689695,854.0,6.739249748876248
3322,0.09828771,0.3006852,929.0,6.734152968677376
14,0.11109332,0.15422586,994.0,6.729325510154462
52,0.04216247,0.49552864,862.0,6.728608052331261
3316,0.2330714,0.15422586,1074.0,6.7280437823833585
29,0.04785245,0.51367474,860.0,6.723539663437565
2099,0.026263772,0.2344353,864.0,6.721851389989199
2135,0.11305673,0.41602656,905.0,6.721740266409803
3334,0.20265625,0.35202882,963.0,6.7204685715031705
724,0.07687678,0.1361225,960.0,6.719244960396371
46,0.079250954,0.18045488,929.0,6.710036477410181
4594,0.0438942,0.13710694,905.0,6.7099645710085
1431,0.21107252,0.49036786,925.0,6.7075443084297985
2108,0.009550206,0.16161843,835.0,6.706103532256534
723,0.37751234,0.2522206,1048.0,6.705408264377477
1465,0.01847211,0.29504436,830.0,6.698864314772086
2736,0.0126288915,0.3730156,820.0,6.6973379396716455
41,0.044883765,0.33941016,847.0,6.695628386897267
2131,0.024967449,0.27275658,832.0,6.691195540140335
26,0.022256956,0.17160219,842.0,6.690558713587832
2124,0.12520397,0.29363838,905.0,6.686914298435324
3964,0.038991302,0.16410081,865.0,6.685969717302914
3337,0.0131943645,0.58985764,806.0,6.684536948232211
738,0.4274071,0.1997879,1059.0,6.681200979362983
30,0.024142517,0.15668073,839.0,6.679461503417662
3960,0.11109332,0.21427503,913.0,6.678158332274093
2125,0.008984734,0.25357863,804.0,6.6771049218676435
3958,0.2191003,0.26725474,949.0,6.671134054887523
32,0.681338,0.11726139,1126.0,6.66758648446789
1466,0.025674535,0.3947486,804.0,6.666326367146727
3957,0.3389984,0.2344353,1000.0,6.66369870923979
4599,0.059727192,0.56226593,813.0,6.663346825813912
1461,0.049584184,0.15422586,861.0,6.660589233269512
2752,0.29771072,0.4022753,923.0,6.654453095367745
1436,0.08795626,0.3235005,841.0,6.649386389079551
4601,0.026263772,0.17286047,813.0,6.648922496608699
2755,0.01646154,0.2810631,786.0,6.646091734404892
3955,0.32971194,0.17664811,1003.0,6.641715853913551
2110,0.019728716,0.19718185,793.0,6.640645323886346
789,0.11057663,0.36762297,838.0,6.638807219006606
755,0.17371799,0.59189343,835.0,6.637024663019154
55,0.014513801,0.81936336,767.0,6.636851542734319
1442,0.023199737,0.19199699,794.0,6.635143749284396
739,0.49139655,0.1331928,1054.0,6.632687478329989
1414,0.2854699,0.14432828,997.0,6.630547174152542
1468,0.60311776,0.22496933,1024.0,6.6295027670193445
1447,0.15932569,0.10331885,971.0,6.628966108112402
1420,0.53579444,0.2700028,993.0,6.626389098862033
2133,0.0068799187,0.3649336,758.0,6.624638790723235
1450,0.019603057,0.6111136,760.0,6.622260851655153
750,0.11181668,0.28523946,838.0,6.618457505180714
752,0.069754265,0.5762566,778.0,6.614876353372973
3963,0.13214645,0.2116222,869.0,6.612382580309477
4600,0.06263174,0.1881301,821.0,6.611158588979787
4604,0.021314176,0.24537462,763.0,6.606733920394719
2767,0.038048524,0.18172787,792.0,6.606478589453432
1444,0.0414203,0.106708884,827.0,6.606285790454632
44,0.031449065,0.22496933,772.0,6.601340658328682
2763,0.012691722,0.50498,742.0,6.600971605905234
4598,0.119997114,0.23036613,844.0,6.600845910752662
2765,0.024613906,0.3163268,755.0,6.599331048924436
2750,0.22980402,0.08656024,991.0,6.599009472892487
2103,0.036634352,0.1016479,813.0,6.595429569062011
1464,0.2312681,0.20109403,905.0,6.590512269486765
4597,0.09915545,0.14995342,853.0,6.588726384424099
753,0.08874765,0.20371327,819.0,6.587147507817357
3967,0.10653123,0.3458873,792.0,6.5815056446253495
59,0.034984488,0.79833215,730.0,6.577802570104995
2753,0.016210219,0.42777425,727.0,6.57586402653584
39,0.17025198,0.1690925,873.0,6.569193691896101
3319,0.03639866,0.13710694,774.0,6.569123265530622
2120,0.0034242517,0.12555276,719.0,6.568770734047166
3340,0.1140901,0.4430585,772.0,6.568570398326298
3323,0.2540519,0.24125785,875.0,6.566854795295879
36,0.012063419,0.22094403,724.0,6.5657126312605145
2150,0.019980038,0.59629965,718.0,6.565065941375667
47,0.1537979,0.30919355,808.0,6.562345073070762
33,0.7675452,0.075639054,1032.0,6.561164078180692
779,0.045625936,0.19070588,761.0,6.5590788842980805
13,0.034513097,0.2590294,737.0,6.557356521679019
716,0.3666224,0.11726139,961.0,6.556749239606941
1445,0.081625134,0.6807116,732.0,6.554763415063724
20,0.022256956,0.32062647,718.0,6.552242766728626
2727,0.10175867,0.19070588,802.0,6.548727929056876
798,0.03781283,0.13029796,762.0,6.547683706066037
15,0.11171334,0.40914017,758.0,6.5466553540484425
1455,0.022139108,0.53915316,705.0,6.5440913432448395
3380,0.046120718,0.25086454,737.0,6.5424097337422165
3969,0.06817148,0.24537462,755.0,6.541576886884581
4607,0.019980038,0.2769019,709.0,6.538754584567308
756,0.07687678,0.13809541,797.0,6.538732193483623
4595,0.4274071,0.2576641,889.0,6.5370041255348195
2093,0.049584184,0.28803274,726.0,6.53086542912035
4608,0.033334624,0.5424111,700.0,6.529745193967191
1418,0.016964182,0.13710694,712.0,6.52608099195703
2757,0.021785567,0.52227247,688.0,6.519539938410699
1439,0.017466826,0.21693645,697.0,6.518942224308381
758,0.15656179,0.6800689,728.0,6.517662277426762
2146,0.0665887,0.7385537,698.0,6.517149704277339
2144,0.08795626,0.1075664,809.0,6.516273791916754
3972,0.017592486,0.29786137,690.0,6.516262367310327
2746,0.09915545,0.23036613,759.0,6.513557595599542
795,0.046120718,0.1690925,732.0,6.512318636147141
2095,0.31963667,0.07775501,933.0,6.509401967632136
2101,0.025203144,0.13809541,708.0,6.503072454553283
719,0.6852916,0.12368249,939.0,6.497926285813922
